文字起こし結果

ファイル名: 20251015103137_20251016_102703.mp3
会議日時: 2025/10/16 10:26
処理日時: 2025-10-16T10:29:02.036214

========================================

[00:00:00] 話者A: えっ、ちょっと資料と別にしてないんですけど、あの、えっと、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSに変換されるんですよ。
[00:00:12] 話者A: なんで、ちょっとそれが終わったらちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いししますというところですね。はい。
[00:00:20] 話者A: それが1点と、で、あとは、あの、なんだっけ？サポートに質問一応投げときました。あの例の件。えっとですね。
[00:00:29] 話者A: えっと、なんだっけ？一応バックログに、えっと、貼っといたんですけど。
[00:00:36] 話者A: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか？パスってかエラーが出る件。
[00:00:41] 話者B: ああ、はい。長すぎるとっていうやつですね。
[00:00:44] 話者A: あ、そうそうそうそう。で、それあの、追加でそのパス長すぎんだけどみたいな話をちょっと投げる気満々でいたんだけど、でも送信ボタンを押し忘れてたらしくて。
[00:00:55] 話者A: ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときました。あの、例の件は。
[00:01:02] 話者A: 一応三環境やります。で、運用しようと思ってます。IDかぶってんだけどなんかいい方があるって話と。
[00:01:08] 話者A: あと標準的な運用方法なんかあれば教えてくれと。
[00:01:11] 話者B: はい、そうですね。
[00:01:13] 話者A: あんまり、あんまり期待せずにくるかなと。うーん、というちょっと質問投げてるんですけど。
[00:01:19] 話者A: っていう状況でございます。はい。
[00:01:21] 話者B: はい。
[00:01:22] 話者A: で、あとは、ちょっとテスト設計はちょっとサボってた部分があったので、今一生懸命、あの、ま、また着手し始めました。あのドクターサ村関係のやつをやってるので、ま、ちょっとそこをでやってますと。作ってますと。
[00:01:36] 話者A: で、ドクターサ村のやつがですね、結構、あの、これ見えますかね？元々のこの作りがすごい複雑なんすよ。
[00:01:44] 話者B: ああ。
[00:01:45] 話者B: はい。
[00:01:45] 話者A: これね。で、何々が終わったらこうで、一応それを加味した形でフローを作ってるんですけど、あの、ちょっと俺がやらかしてねえかってのがちょっと非常に不安ではあるんですけど、一応これ作ってますって感じで、もしかしたら辻さんちょっとこれすいません確認してってお願いするかもしんないでよろしく。
[00:02:04] 話者A: あの、お願いしますって感じ。
[00:02:06] 話者A: あの、めんどくさそうなやつちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣き、投げが入るかもしれないですと。いう感じでございます。はい。
[00:02:15] 話者A: そんな感じかな。ちょっと僕から以上でございますね。はい。
[00:02:18] 話者B: はい。
[00:02:19] 話者A: 辻さんの方から何かありますかね？
[00:02:21] 話者B: あ、そうですね。ちょっと昨日からあの、本番環境のの方での確認はちょっとスタート、ちょっとしてみてたんですけど。
[00:02:28] 話者A: そうそうそうそう。
[00:02:30] 話者B: そうですね。あの、トリマスンのコピーのところから、ま、ちょっと簡単なところからと思って、えっと、やってて、えっと、とりあえずははい、あの、今日あのエラーをポンポンと発生させて、ま、メール、メールが届いてるかと思うんですけど。ここって、えっと、懸命のところデブがついてるのはもうOKっていうのがなんかどっかでやり取りが？
[00:02:51] 話者A: もういいです、いいです。
[00:02:51] 話者B: 大丈夫ですか？
