文字起こし結果

ファイル名: 20251015103137_20251016_111135.mp3
会議日時: 2025/10/16 11:11
処理日時: 2025-10-16T11:13:30.846974

========================================

[00:00:00] 担当者: ちょっと資料を読めてないんですけど、あの
[00:00:02] 担当者: えっと、薄緑環境じゃなかった、えっと、新
[00:00:05] 担当者: AWSサーバーなんですけど、HTTPからHTTPSに変換されるんですよ。
[00:00:12] 担当者: なんで、ちょっとそれが終わったらちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いいたします。というところですね。
[00:00:19] 担当者: はい。
[00:00:20] 担当者: それも1点と。
[00:00:21] 担当者: で、あと、あの、なんだっけ？サポートに質問一応投げときました。
[00:00:25] 担当者: あの、例の件。
[00:00:26] 辻さん: はい。
[00:00:27] 担当者: えっとですね。
[00:00:29] 担当者: えっと、
[00:00:30] 担当者: なんだっけ？一応バックログに貼っといたんですけど。
[00:00:36] 担当者: とですね、ちょっと言っとかなきゃいけないことがあって。
[00:00:38] 担当者: あの、パスの件あったじゃないですか。パスってかエラーが出る件。
[00:00:41] 辻さん: ああ、はい、長すぎるって言ったやつですね。
[00:00:44] 担当者: あ、そうそうそうそう。
[00:00:44] 担当者: で、それ、あの、追加でそのパス長すぎんだけどみたいな話を、ちょっと投げる気満々でいたんだけど。
[00:00:52] 担当者: でも、送信ボタンを押し忘れてたらしくて、ちょっと昨日、昨日急遽押しましたっていう感じです。
[00:00:58] 担当者: 一応こういう形で投げときました。
[00:01:01] 担当者: あの、例の件は。
[00:01:02] 担当者: 一応3環境やりますって、運用しようと思ってます。IDかぶってんだけどなんかいい方法があるって話と。
[00:01:07] 辻さん: はい。
[00:01:08] 担当者: あと標準的な運用方法なんかあれば教えてくれと。
[00:01:11] 辻さん: はい。
[00:01:11] 辻さん: そうですね。
[00:01:13] 担当者: あまり、あまり期待せずに来ると。
[00:01:16] 担当者: かなと、うーん、というちょっと質問投げてるんですけど。
[00:01:19] 担当者: という状況でございます。
[00:01:21] 担当者: はい。
[00:01:21] 辻さん: はい。
[00:01:22] 担当者: で、あとはちょっとテスト設計はちょっとサボってた部分があったので。
[00:01:26] 担当者: 今、一生懸命、あの、また着手始めました。あの、ドクターサムライ関係のやつをやってるので、ま、ちょっとそこをで、やってますと。
[00:01:35] 担当者: 作ってます。
[00:01:36] 担当者: で、ドクターサムライのやつがですね、結構
[00:01:38] 担当者: あの、これ見えますかね？
[00:01:40] 担当者: 元々のこの作りがすごい複雑なんですよ。
[00:01:44] 辻さん: ああ。
[00:01:45] 辻さん: はい。
[00:01:45] 担当者: これね。
[00:01:46] 担当者: で、何々が終わったらこうで。
[00:01:48] 担当者: 一応、それを加味した形でフローを作ってるんですけど、あの、ちょっと俺がやらかしてねえかっていうのはちょっと非常に不安ではあるんですけど。
[00:01:56] 担当者: 一応これ作ってますって感じで、もしかしたら辻さんちょっとこれすみません確認してって言われるかもしれないんで。
[00:02:03] 担当者: よろしく。
[00:02:04] 担当者: あの、
[00:02:05] 担当者: お願いしますって感じです。
[00:02:06] 辻さん: はい。
[00:02:06] 担当者: あの、めんどくさそうなやつ、ちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣きが入るかもしれないですと。
[00:02:13] 辻さん: はい。
[00:02:14] 担当者: いう感じでございます。
[00:02:15] 担当者: はい。
[00:02:16] 担当者: そんな感じかな。ちょっと僕からは以上でございますね。
[00:02:18] 担当者: はい。
[00:02:19] 辻さん: はい。
[00:02:20] 担当者: 辻さんの方から何かありますかね？
[00:02:21] 辻さん: あ、そうですね。ちょっと昨日からあの、本番環境のほうでの確認をちょっとスタート、ちょっとしてみてたんですけど。
[00:02:28] 辻さん: あの、
[00:02:29] 担当者: そうそうそうそう。
[00:02:31] 辻さん: そうですね。あの、トリマスのコピーのところから、ま、ちょっと簡単なところからと思って、えっと、やってて、えっと、とりあえずは。
[00:02:38] 担当者: これです、はい。
[00:02:39] 辻さん: はい。あの、今日あの、エラーをポンポンと発生させて、ま、メールが届いてるかと思うんですけど。ここって、えっと、件名のところデブがついてるのはもうOKっていうのがなんかどっかでやりとりがあっ。
[00:02:45] 担当者: もういいです。
[00:02:46] 担当者: 大丈夫です。
[00:02:46] 担当者: もう、もういいです。
[00:02:47] 担当者: あの、あの、いいですいいです。あの、取っ払おうかと思ったんですけど、もうちょっと、あの、今更取っ払うと大惨事なんで。
[00:02:55] 担当者: あの、
[00:02:56] 辻さん: はい。
[00:02:57] 辻さん: あ、そっか。
[00:03:00] 辻さん: もういいか。
[00:03:00] 辻さん: いろんなところにありそうですね。
[00:03:03] 担当者: はい。
[00:03:03] 担当者: そうそうそうそう。最悪、あの、全部一通りテストだったら、あの、措置感っていうやつですね、危険な手を使おうかと。
[00:03:09] 担当者: いう、ああ、もうあります。
[00:03:10] 担当者: あの、ちょ、ちょっと今更言えねえなっていう感じでございます。
[00:03:14] 辻さん: はい。
[00:03:14] 担当者: 分かりました。
[00:03:14] 辻さん: この部分をOKとして。
[00:03:16] 辻さん: まあ、もうまもなく、えっと、とりあえずは終わりそうなので、えっと、続けて、まあ、えっと、新しい、ま、何にするかは決めてないですけど。
[00:03:25] 辻さん: まあ、ちょっととりあえずちょっと簡単なところからいこうかなと。
[00:03:28] 担当者: はい。
[00:03:28] 担当者: そうですね。
[00:03:29] 担当者: はい。
[00:03:29] 辻さん: 分かりました。
[00:03:30] 担当者: あ、で、そうそう。これ聞こうと思ったんですけど。
[00:03:32] 担当者: あの、簡単にあの、トリマスの値がちゃんと変わってるよねってのを見といてくださいていう話をちょっとテスト設計に書いたんですけど。
[00:03:39] 担当者: あの、簡単でいいんで、ちょっと見といていただけると嬉しいかなと思います。
[00:03:42] 担当者: あの、名前とか、名前住所、え、あとあれかな、代表者名とかがちゃんと変わってればOKなんで。
[00:03:48] 担当者: はい。
[00:03:49] 担当者: ちょっと見といていただけると嬉しいかなと思います。
[00:03:52] 辻さん: はい。
[00:03:52] 辻さん: はい。
[00:03:53] 辻さん: 承知しました。
[00:03:53] 担当者: あ、もう、ほんとそのレベルでいいです。あの、別にかっつりやる必要全くないです。
[00:03:56] 担当者: あの、大丈夫です。
[00:03:58] 担当者: はい。
[00:03:59] 担当者: そんなノリで大丈夫です。
[00:04:00] 担当者: そうそう。言おうと思って忘れました。ちゃんとメモれって話ですよね。ちょっと話さなきゃいけないことね。
[00:04:04] 担当者: うん。
[00:04:04] 辻さん: はい。
[00:04:05] 担当者: そうなんすよ。
[00:04:06] 担当者: ちょっとね、ちょっと最近サボってます。
[00:04:08] 担当者: 申し訳ないっす。
[00:04:09] 担当者: はい。
[00:04:10] 辻さん: はい。
[00:04:11] 辻さん: はい。
[00:04:12] 辻さん: じゃあ、とりあえずは。
[00:04:13] 担当者: はい。
[00:04:14] 担当者: あれっすからね、粛々とやっていただく形で。俺も粛々とこう、あの、テスト設計粛々とやるしかないんで。
[00:04:22] 担当者: 感じでやってます。
[00:04:23] 辻さん: うんうん。
[00:04:24] 辻さん: 今んとこ、こういう別途作業っていうのは発生してないんで、はい、承知しました。
[00:04:28] 担当者: そうっすね。
[00:04:29] 辻さん: はい。
[00:04:30] 辻さん: 承知しました。
[00:04:31] 担当者: そうっすね。
[00:04:33] 担当者: で、ちょ、ちょっと、ま、ま、並行してその運用設計どうするかという話もちょっと考えなきゃいけないんですけども。
[00:04:39] 担当者: うーん、ちょ、ちょっとね、やっぱなんか、なんだろうな、ま、ちょっと、なんつうんだろう、JMSSに慣れすぎたっての、ちょっと正直あるんですけど。
[00:04:48] 担当者: ちょっとJMSSとジョブセンターの、その、なんつうんだろうな、仕様がこう、なんだろう、いけてない、いけてないって言うか、なんつうんだろう、こう、痒いところに、痒いとこってか、あの、JMSSの融通が効いてたところを、うーん、あの、ジョブセンター全くきり捨てた感が俺の中に印象あるんすよ。
[00:05:12] 辻さん: はい。
[00:05:13] 辻さん: ああ。
[00:05:13] 担当者: なんで、なんで、そうですね。
[00:05:15] 担当者: ちょ、そこら辺がちょっと、うーん、いや、いや、なんだろうな、ちょっとやりづらいっての、ちょっとあるかなと思うんすよね。
[00:05:22] 担当者: で、あと、ま、ま、大体繰り返しって言ってるんですけど。
[00:05:26] 担当者: ま、ちょっと辻さんに言ったかどうかわかんないんですけど、ジョブセンター、これで殺せるかなって。
[00:05:33] 担当者: あの、1月以降ですね。
[00:05:35] 担当者: あの、ま、僕ら、僕らってか、あの、いじってる人たちは、ま、まあ、しょうがねえなと思ってやってはいるんですけど。
[00:05:41] 担当者: うーん、ちょっとなあ、ってこう、うーん、ちょっと悩ましいなあと思ってます。
[00:05:48] 担当者: あの、
[00:05:50] 担当者: 悩ましいなと思ってます。
[00:05:52] 担当者: 悩ましいしか言えねえっすね。
[00:05:54] 辻さん: はい。
[00:05:55] 担当者: あとあれだな。辻さんちょっとあれだな、相談したかったことが相談っていうわけじゃいじゃないんですけど。
[00:06:02] 担当者: あの、なんだろうな。
[00:06:05] 担当者: まあ、いいか。
[00:06:06] 担当者: 心にゆとりなんて、ちょっとやっぱ、ちょっとしくってんすよね、やっぱ俺。
[00:06:10] 担当者: ま、悩ましいよな、ま、いいんだろうけどな、既存の。
