文字起こし結果

ファイル名: 20251015103137_20251016_093330.mp3
会議日時: 2025/10/16 09:33
処理日時: 2025-10-16T09:34:47.842471

========================================

[00:00:00] 話者A: え、ちょっと資料は用意してないんですけど、あのー、えっと、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSにへ、変更をされるんですよ。はい。なんで、ちょっとそれが終わったらちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いししますというところですね。はい。それか1点とで、あとはあの、なんだっけ？サポートに質問一応投げときました。あの、例の件。はい。えっとですね。
[00:00:29] 話者A: えっと、何だっけ？一応バックログに、えっと、貼っといたんですけど。
[00:00:36] 話者A: あとですね、ちょっと言っとかなきゃいけないことがあって、あのパスの件あったじゃないですか、パスっていうか、エラーが出る件。
[00:00:41] 辻: ああ、はい、長すぎるとっていうやつですね。
[00:00:44] 話者A: あ、そうそうそうそう。で、それあの、追加でそのパス長すぎんだけど、みたいな話をちょっと投げてる気満々でいたんだけど、ども送信ボタンを押し忘れてたらしくって。ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときました。あの、例の件は。一応3環境やります。で、運用しようと思ってます。IDかぶってんだけど、なんかいい方法あるって話と。はい。あと標準的な運用方法をなんかあれば教えてくれと。
[00:01:11] 辻: はい、そうですね。
[00:01:13] 話者A: まあ、あまり、あまり期待せずに降るかなと。うーん、というちょっと質問投げてんですけど。という状況でございます。はい。
[00:01:22] 辻: はい。
[00:01:22] 話者A: で、あとはちょっとテスト設計はちょっとサボってた部分があったので、今一生懸命あの、また着手始めました。あの、ドクターサムラ関係のやつをやってるのので、ま、ちょっとそこをで、やってますと、作ってます。で、ドクターサムラやつがですね、結構、あの、これ見えますかね？元々のこの作りがすごい複雑なんですよ。
[00:01:44] 辻: ああ、はい。
[00:01:45] 話者A: これね。で、何々が終わったらこうで、一応それを加味した形でフローを作ってるんですけど。
[00:01:52] 話者A: あの、ちょっと俺がやらかしてねえかってのがちょっと非常に不安ではあるんですけど、一応これ作ってますって形なんで、もしかしたら辻さんちょっとこれすいません確認してって頼むかもしんないでよろしくしょ。あの、お願いしますって感じです。
[00:02:06] 辻: はい。
[00:02:07] 話者A: あの、めんどくさそうなやつはちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣き、泣きが入るかもしんないですと。いう感じでございます。はい。そんな感じかな。ちょっと僕から以上でございますね。はい。
[00:02:18] 辻: はい。
